week,n,auc_glm,auc_rf
3,99,0.9230452674897115,0.9592592592592589
4,99,0.8533142389525371,0.9729950900163666
5,99,0.8843314191960618,0.9733388022969643
6,99,0.8855619360131255,0.9487284659557012
7,99,0.5636363636363637,0.9528925619834716
8,99,0.8847736625514401,0.9061728395061728
9,99,0.934979423868313,0.9246913580246919
10,99,0.8736669401148482,0.941345365053322
11,99,0.9491386382280551,0.9827727645611154
12,99,0.9189852700491,0.950900163666121
14,99,0.9405250205086125,0.9827727645611156
15,99,0.979983660130719,0.991421568627451
16,99,0.919934640522876,0.9183006535947714
17,99,0.9463993453355157,0.9590834697217668
18,99,0.9165302782324058,0.9644026186579374
