season,week,player_full,position,cap_hit_weekly,prob_play,cap_risk
2024,12,Andrew Thomas,OL,1093774.5,0.08423065399900903,1001645.158537561
2024,14,Andrew Thomas,OL,1093774.5,0.09701955779133266,987656.981686564
2024,13,Andrew Thomas,OL,1093774.5,0.11676407942487693,966060.9274090949
2024,15,Andrew Thomas,OL,1093774.5,0.15123989525646828,928352.159185804
2024,17,Andrew Thomas,OL,1093774.5,0.15123989525646828,928352.159185804
2024,10,Andrew Thomas,OL,1093774.5,0.18572855091397494,890629.3470883424
2024,16,Andrew Thomas,OL,1093774.5,0.18572855091397494,890629.3470883424
2024,18,Andrew Thomas,OL,1093774.5,0.18572855091397494,890629.3470883424
2024,9,Andrew Thomas,OL,1093774.5,0.2737806787006602,794320.1750445247
2024,8,Andrew Thomas,OL,1093774.5,0.3459785394379778,715351.9960154956
2024,17,Dexter Lawrence,DL,796693.4444444445,0.38803895045360226,487545.35642895696
2024,18,Dexter Lawrence,DL,796693.4444444445,0.40564002100954105,473522.69890183647
2024,12,Kayvon Thibodeaux,LB,474833.8888888889,0.11224916649684871,421534.18063665385
2024,9,Kayvon Thibodeaux,LB,474833.8888888889,0.1440366595234967,406440.4017047821
2024,10,Kayvon Thibodeaux,LB,474833.8888888889,0.2027935032016073,378540.66112226836
